,seriesID,year,period,month,value,footnotes,netchg_1mo,netchg_3mo,netchg_6mo,netchg_12mo,pctchg_1mo,pctchg_3mo,pctchg_6mo,pctchg_12mo,time_period,series_name
0,SMS01000000000000001,2025,M09,September,2216.2,Preliminary,0.4,5.1,6.0,21.7,0.0,0.2,0.3,1.0,2025-09-01,AL
1,SMS01000000000000001,2025,M08,August,2215.8,,3.9,0.2,13.3,22.9,0.2,0.0,0.6,1.0,2025-08-01,AL
2,SMS01000000000000001,2025,M07,July,2211.9,,0.8,-3.5,12.4,22.2,0.0,-0.2,0.6,1.0,2025-07-01,AL
3,SMS01000000000000001,2025,M06,June,2211.1,,-4.5,0.9,10.8,20.1,-0.2,0.0,0.5,0.9,2025-06-01,AL
4,SMS01000000000000001,2025,M05,May,2215.6,,0.2,13.1,18.5,25.7,0.0,0.6,0.8,1.2,2025-05-01,AL
5,SMS01000000000000001,2025,M04,April,2215.4,,5.2,15.9,19.5,28.0,0.2,0.7,0.9,1.3,2025-04-01,AL
6,SMS01000000000000001,2025,M03,March,2210.2,,7.7,9.9,15.7,23.2,0.3,0.4,0.7,1.1,2025-03-01,AL
7,SMS01000000000000001,2025,M02,February,2202.5,,3.0,5.4,9.6,18.4,0.1,0.2,0.4,0.8,2025-02-01,AL
8,SMS01000000000000001,2025,M01,January,2199.5,,-0.8,3.6,9.8,21.0,0.0,0.2,0.4,1.0,2025-01-01,AL
9,SMS01000000000000001,2024,M12,December,2200.3,,3.2,5.8,9.3,25.4,0.1,0.3,0.4,1.2,2024-12-01,AL
10,SMS01000000000000001,2024,M11,November,2197.1,,1.2,4.2,7.2,24.4,0.1,0.2,0.3,1.1,2024-11-01,AL
11,SMS01000000000000001,2024,M10,October,2195.9,,1.4,6.2,8.5,21.8,0.1,0.3,0.4,1.0,2024-10-01,AL
12,SMS01000000000000001,2024,M09,September,2194.5,,1.6,3.5,7.5,24.2,0.1,0.2,0.3,1.1,2024-09-01,AL
13,SMS01000000000000001,2024,M08,August,2192.9,,3.2,3.0,8.8,25.4,0.1,0.1,0.4,1.2,2024-08-01,AL
14,SMS01000000000000001,2024,M07,July,2189.7,,-1.3,2.3,11.2,26.3,-0.1,0.1,0.5,1.2,2024-07-01,AL
15,SMS01000000000000001,2024,M06,June,2191.0,,1.1,4.0,16.1,27.2,0.1,0.2,0.7,1.3,2024-06-01,AL
16,SMS01000000000000001,2024,M05,May,2189.9,,2.5,5.8,17.2,34.6,0.1,0.3,0.8,1.6,2024-05-01,AL
17,SMS01000000000000001,2024,M04,April,2187.4,,0.4,8.9,13.3,34.5,0.0,0.4,0.6,1.6,2024-04-01,AL
18,SMS01000000000000001,2024,M03,March,2187.0,,2.9,12.1,16.7,36.9,0.1,0.6,0.8,1.7,2024-03-01,AL
19,SMS01000000000000001,2024,M02,February,2184.1,,5.6,11.4,16.6,36.4,0.3,0.5,0.8,1.7,2024-02-01,AL
20,SMS01000000000000001,2024,M01,January,2178.5,,3.6,4.4,15.1,32.3,0.2,0.2,0.7,1.5,2024-01-01,AL
21,SMS02000000000000001,2025,M09,September,338.7,Preliminary,-0.9,0.4,0.3,3.6,-0.3,0.1,0.1,1.1,2025-09-01,AK
22,SMS02000000000000001,2025,M08,August,339.6,,1.4,2.3,2.0,5.5,0.4,0.7,0.6,1.6,2025-08-01,AK
